date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD,EUR,GBP,JPY,CNY
1/06/2008,BRA,BRL,Brazil,7.5,1.5846,4.733055661,0.47447,-0.11411,0.03557,0.80625,1.58766
1/06/2008,GBR,GBP,Britain,2.29,0.501039657,4.570496503,0.42383,-0.14454,0,0.74422,1.49878
1/06/2008,CAN,CAD,Canada,4.09,1.00355,4.075531862,0.26964,-0.23718,-0.1083,0.55532,1.22817
,,,,,,,,,,,
1/06/2008,CHN,CNY,China,12.5,6.834,1.829089845,-0.43019,-0.65765,-0.59981,-0.30197,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/06/2008,IDN,IDR,Indonesia,18700,9152,2.043269231,-0.36347,-0.61756,-0.55294,-0.22024,0.1171
1/06/2008,JPN,JPY,Japan,280,106.855,2.620373403,-0.18368,-0.50954,-0.42668,0,0.43261
,,,,,,,,,,,
1/06/2008,MEX,MXN,Mexico,32,10.1685,3.146973497,-0.01963,-0.41098,-0.31146,0.20096,0.72051
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/06/2008,RUS,RUB,Russia,59,23.2336,2.539425659,-0.2089,-0.52469,-0.44439,-0.03089,0.38835
1/06/2008,SAU,SAR,Saudi Arabia,10,3.74955,2.666986705,-0.16916,-0.50082,-0.41648,0.01779,0.45809
,,,,,,,,,,,
1/06/2008,ZAF,ZAR,South Africa,16.95,7.56325,2.241100056,-0.30184,-0.58053,-0.50966,-0.14474,0.22525
1/06/2008,KOR,KRW,South Korea,3200,1018.05,3.143264083,-0.02079,-0.41167,-0.31227,0.19955,0.71849
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/06/2008,TUR,TRY,Turkey,5.15,1.19275,4.317753092,0.34509,-0.19184,-0.0553,0.64776,1.3606
,,,,,,,,,,,
,,,,,,,,,,,
1/06/2008,USA,USD,United States,3.21,1,3.21,0,-0.39918,-0.29767,0.22502,0.75497
,,,,,,,,,,,
1/07/2009,ARG,ARS,Argentina,11.5,3.81125,3.017382748,-0.1203,-0.34648,-0.1819,-0.12717,0.64935
1/07/2009,AUS,AUD,Australia,4.34,1.2869,3.372445411,-0.01678,-0.26958,-0.08563,-0.02447,0.84343
1/07/2009,BRA,BRL,Brazil,8.03,1.9971,4.020830204,0.17225,-0.12915,0.09017,0.16309,1.19785
1/07/2009,GBR,GBP,Britain,2.29,0.620886626,3.688274001,0.0753,-0.20117,0,0.06689,1.01607
1/07/2009,CAN,CAD,Canada,3.89,1.16085,3.350992807,-0.02303,-0.27422,-0.09145,-0.03067,0.83171
,,,,,,,,,,,
1/07/2009,CHN,CNY,China,12.5,6.8327,1.82943785,-0.46664,-0.60377,-0.50399,-0.47081,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/07/2009,IDN,IDR,Indonesia,20900,10200,2.049019608,-0.40262,-0.55621,-0.44445,-0.40729,0.12003
,,,,,,,,,,,
1/07/2009,JPN,JPY,Japan,320,92.565,3.457030195,0.00788,-0.25126,-0.0627,0,0.88967
,,,,,,,,,,,
1/07/2009,MEX,MXN,Mexico,33,13.8104,2.389503563,-0.30335,-0.48247,-0.35214,-0.3088,0.30614
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/07/2009,RUS,RUB,Russia,67,32.7959,2.042938294,-0.40439,-0.55753,-0.4461,-0.40905,0.1167
1/07/2009,SAU,SAR,Saudi Arabia,11,3.7504,2.933020478,-0.14489,-0.36475,-0.20477,-0.15158,0.60324
,,,,,,,,,,,
